,Дата,Менеджер,Звонков совершено,Звонков успешных,Средняя длительность звонка,"Время на линии за день, минут",Количество активных сделок,Количество сделок без задач,Количество просроченных задач,Сделок создано,Встреч назначено,"Кол-во компаний, перешедших на сл этап сделки",Подписано NDA,Подписано договоров,Звонков всего,Разговор состоялся,Говорили с секретарем,Обход секретаря совершён,Секретарь перевел звонок,Контакт получен,Говорили с ЛПР,ЛПР заинтересован,Встреча назначена,Договорились подписать НДА,Договорились подписать Договор,договорились показать кандидатов,кол-во выявл потребн (чел),Нас отправили на почту (КП)
127,2022-03-14,65f27eeb,72,40,1:44,69,84,0,0,25,,,,,72,33,28,1,1,5,14,3,0,0,0,0,0,10
128,2022-03-14,cb3f2d09,77,47,1:55,90,27,0,0,21,,,,,77,21,17,0,2,2,1,0,0,0,0,0,0,10
129,2022-03-14,dce5a5e0,35,28,2:14,62,496,0,291,2,,,,,35,21,19,1,2,5,3,7,1,1,1,1,2,10
130,2022-03-15,daaa308c,18,14,1:18,18,689,0,0,0,,,,,14,11,10,6,2,2,2,3,0,0,0,0,0,1
131,2022-03-15,65f27eeb,73,36,2:46,99,93,0,0,15,3,4,,,36,26,18,4,3,2,9,5,3,0,0,2,6,7
132,2022-03-15,cb3f2d09,86,56,1:41,94,39,0,0,17,,,,,56,25,25,0,2,0,1,0,0,0,0,0,0,3
133,2022-03-15,dce5a5e0,36,26,2:10,56,358,0,169,2,,2,,,26,20,14,3,7,4,6,15,1,1,1,2,10,3
134,2022-03-16,daaa308c,19,14,2:12,30,689,0,0,0,,8,,,19,13,10,7,4,2,3,4,0,1,0,1,3,3
135,2022-03-16,65f27eeb,81,42,1:43,72,96,0,0,10,,1,,,81,28,23,5,6,2,4,2,0,0,0,0,0,5
136,2022-03-16,cb3f2d09,65,36,2:31,90,55,0,0,20,,,,,65,18,18,3,1,2,3,0,0,0,0,0,0,11
137,2022-03-16,dce5a5e0,34,22,2:47,61,351,0,0,0,,3,,,34,14,8,1,5,1,5,5,1,2,1,2,3,3
138,2022-03-17,daaa308c,31,20,1:32,30,690,0,0,0,,15,,,31,12,10,8,6,4,0,0,0,0,0,0,0,0
139,2022-03-17,65f27eeb,117,55,1:33,84,121,0,0,24,,1,,,117,26,19,3,6,3,2,1,0,0,0,0,0,2
140,2022-03-17,cb3f2d09,62,50,2:14,91,72,0,0,17,,,,,62,26,26,1,7,5,1,0,0,0,0,0,0,9
141,2022-03-17,dce5a5e0,60,53,2:39,140,347,0,0,1,,,,,60,41,29,8,16,7,13,24,0,1,1,2,3,7
142,2022-03-18,daaa308c,22,16,1:29,23,689,0,0,0,,21,,,22,13,8,5,1,1,3,1,0,1,1,0,0,1
143,2022-03-18,65f27eeb,87,38,2:10,88,120,0,0,10,,2,,,87,26,22,4,9,6,5,4,0,0,0,0,0,6
144,2022-03-18,cb3f2d09,74,40,2:16,90,84,0,0,11,,2,,,74,17,18,3,5,2,1,1,0,0,0,0,0,5
145,2022-03-18,dce5a5e0,27,19,3:24,64,342,0,0,0,,,,,27,13,6,0,4,0,7,7,0,1,1,2,0,5
146,2022-03-21,daaa308c,17,11,1:39,20,688,0,0,1,,,,,17,11,7,2,2,1,4,2,0,0,1,1,0,1
147,2022-03-21,65f27eeb,79,32,2:39,103,137,0,0,29,,1,,,79,32,30,7,8,5,5,3,0,0,0,0,0,7
148,2022-03-21,cb3f2d09,83,53,2:03,108,101,0,0,20,,3,,,83,53,16,0,5,3,2,2,0,0,0,0,0,7
149,2022-03-21,dce5a5e0,48,32,2:09,85,345,0,0,1,,4,,,48,32,19,2,11,7,14,23,4,0,0,1,7,11
150,2022-03-21,18183ed9,41,29,1:31,43,18,0,0,21,,8,,,41,29,13,5,3,7,2,3,0,0,0,0,0,6
151,2022-03-21,9fd16759,39,17,1:25,24,11,0,0,13,,8,,,39,17,4,3,0,2,1,0,0,0,0,0,0,0
152,2022-03-22,daaa308c,46,13,1:15,21,689,0,0,1,,3,,,46,12,6,2,1,2,2,3,0,1,0,0,0,1
153,2022-03-22,65f27eeb,51,27,1:53,62,145,0,0,19,,1,,,51,27,27,10,8,6,6,6,0,0,0,0,0,5
154,2022-03-22,cb3f2d09,64,18,2:33,104,94,0,0,0,,1,,,64,18,18,3,5,5,4,0,0,0,0,0,0,5
155,2022-03-22,dce5a5e0,38,21,3:19,89,343,0,0,2,,,,,38,21,15,1,7,5,9,14,0,2,1,0,0,9
156,2022-03-22,18183ed9,62,21,1:56,77,43,0,0,32,,15,,,62,21,17,8,6,9,8,0,0,0,0,0,0,12
157,2022-03-22,9fd16759,84,26,1:31,60,38,0,0,32,,9,,,84,26,20,11,2,4,2,0,0,0,0,0,0,0
158,2022-03-23,daaa308c,12,7,1:45,19,687,0,0,0,,,,,12,7,1,1,0,5,5,3,0,0,0,0,0,1
159,2022-03-23,65f27eeb,52,26,2:28,93,168,0,0,26,,,,,52,26,26,12,12,9,4,3,0,0,0,0,0,7
160,2022-03-23,cb3f2d09,63,17,2:19,104,93,0,0,7,,,,,63,17,17,0,4,3,0,0,0,0,0,0,0,3
161,2022-03-23,dce5a5e0,33,20,3:12,83,339,0,0,0,,,,,33,20,12,5,9,5,12,12,1,0,0,2,2,9
162,2022-03-23,18183ed9,53,21,2:04,70,65,0,0,24,,,,,53,21,19,4,1,11,2,0,0,0,0,0,0,8
163,2022-03-23,9fd16759,60,15,1:30,55,49,0,0,17,,,,,60,15,9,4,3,3,2,0,0,0,0,0,0,0
164,2022-03-24,daaa308c,16,10,1:37,20,686,0,0,0,,4,,,16,10,9,3,3,2,3,0,0,0,0,0,0,2
165,2022-03-24,65f27eeb,46,19,1:49,60,173,0,0,25,,1,,,46,19,17,9,7,7,4,5,0,0,0,0,0,3
166,2022-03-24,cb3f2d09,53,24,2:33,91,81,0,0,7,,,,,53,24,21,0,16,11,5,1,0,0,0,0,0,0
167,2022-03-24,dce5a5e0,44,23,2:32,88,336,0,0,0,,2,,,44,23,18,5,11,5,11,16,0,1,1,1,8,5
168,2022-03-24,18183ed9,58,23,1:57,80,81,0,0,20,,11,,,58,23,20,8,4,9,2,0,0,0,0,0,0,6
169,2022-03-24,9fd16759,65,25,1:27,72,54,0,0,46,,3,,,65,25,19,8,9,12,4,0,0,0,0,0,0,0
170,2022-03-25,daaa308c,17,12,1:50,25,685,0,0,0,,14,,,17,12,10,5,4,1,0,0,0,0,0,0,0,2
171,2022-03-25,65f27eeb,53,29,1:54,78,162,0,0,5,,1,,,53,29,22,7,8,7,5,7,0,0,0,0,0,5
172,2022-03-25,cb3f2d09,49,23,2:00,80,79,0,0,13,,1,,,49,23,20,1,12,7,3,0,0,0,0,0,0,1
173,2022-03-25,dce5a5e0,63,38,2:10,90,332,0,0,0,,1,,,63,38,26,2,7,6,14,26,0,1,1,1,2,6
174,2022-03-25,18183ed9,56,20,1:55,69,90,0,0,17,,5,,,56,20,14,10,6,9,4,0,0,0,0,0,0,2
175,2022-03-25,9fd16759,60,18,1:18,38,60,0,0,9,,3,,,60,18,11,4,3,7,3,0,0,0,0,0,0,0
176,2022-03-28,daaa308c,15,13,1:46,33,686,0,0,1,,3,,,15,13,8,5,4,3,6,4,0,0,0,0,0,3
177,2022-03-28,65f27eeb,42,22,2:06,64,175,0,0,18,,0,,,42,22,18,6,6,8,2,3,0,0,0,0,0,5
178,2022-03-28,cb3f2d09,46,28,2:06,95,73,0,0,6,,1,,,46,28,26,1,12,9,3,1,0,0,0,0,0,3
179,2022-03-28,dce5a5e0,43,27,2:03,58,330,0,0,0,,0,,,43,27,18,2,12,3,12,13,0,0,0,0,0,2
180,2022-03-28,18183ed9,26,14,1:43,32,90,0,0,8,,3,,,26,14,13,5,4,7,3,0,0,0,0,0,0,3
181,2022-03-28,9fd16759,52,18,1:26,49,69,0,0,13,,2,,,52,18,10,3,1,4,1,0,0,0,0,0,0,0
182,2022-03-29,daaa308c,14,11,2:06,25,686,0,0,1,,0,,,14,11,10,4,3,1,1,0,0,0,0,0,0,0
183,2022-03-29,65f27eeb,47,33,3:11,127,180,0,0,7,,1,,,47,33,24,8,9,8,4,6,0,0,0,0,0,4
184,2022-03-29,cb3f2d09,41,18,2:01,76,84,0,0,10,,1,,,41,18,17,0,9,5,4,0,0,0,0,0,0,5
